unit,n_portion,sex,age,country,time,value
PC,0,F,Y45-64,LV,2019 ,49.6
PC,0,F,Y45-64,MT,2019 ,32.2
PC,0,F,Y45-64,NL,2019 ,40.9
PC,0,F,Y45-64,NO,2019 ,29.7
PC,0,F,Y45-64,PL,2019 ,44.7
PC,0,F,Y45-64,PT,2019 ,21.4
PC,0,F,Y45-64,RO,2019 ,81.4
PC,0,F,Y45-64,RS,2019 ,46.2
PC,0,F,Y45-64,SE,2019 ,31.5
PC,0,F,Y45-64,SI,2019 ,22.4
PC,0,F,Y45-64,SK,2019 ,46.1
PC,0,F,Y45-64,TR,2019 ,32.2
PC,0,F,Y45-64,UK,2019 ,
PC,0,F,Y55-64,AT,2019 ,29.9
PC,0,F,Y55-64,BE,2019 ,17.3
PC,0,F,Y55-64,BG,2019 ,53.2
PC,0,F,Y55-64,CY,2019 ,28.3
PC,0,F,Y55-64,CZ,2019 ,44.8
PC,0,F,Y55-64,DE,2019 ,29.0
PC,0,F,Y55-64,DK,2019 ,34.4
PC,0,F,Y55-64,EE,2019 ,42.5
PC,0,F,Y55-64,EL,2019 ,30.4
PC,0,F,Y55-64,ES,2019 ,15.5
PC,0,F,Y55-64,EU27_2020,2019 ,25.7
PC,0,F,Y55-64,EU28,2019 ,
PC,0,F,Y55-64,FI,2019 ,44.8
PC,0,F,Y55-64,FR,2019 ,20.6
PC,0,F,Y55-64,HR,2019 ,20.6
PC,0,F,Y55-64,HU,2019 ,29.3
PC,0,F,Y55-64,IE,2019 ,20.4
PC,0,F,Y55-64,IS,2019 ,36.6
PC,0,F,Y55-64,IT,2019 ,21.5
PC,0,F,Y55-64,LT,2019 ,
PC,0,F,Y55-64,LU,2019 ,53.5
PC,0,F,Y55-64,LV,2019 ,39.4
PC,0,F,Y55-64,MT,2019 ,31.3
PC,0,F,Y55-64,NL,2019 ,40.9
PC,0,F,Y55-64,NO,2019 ,27.8
PC,0,F,Y55-64,PL,2019 ,46.2
PC,0,F,Y55-64,PT,2019 ,20.2
PC,0,F,Y55-64,RO,2019 ,81.4
PC,0,F,Y55-64,RS,2019 ,43.7
PC,0,F,Y55-64,SE,2019 ,31.5
PC,0,F,Y55-64,SI,2019 ,20.0
PC,0,F,Y55-64,SK,2019 ,39.4
PC,0,F,Y55-64,TR,2019 ,31.3
PC,0,F,Y55-64,UK,2019 ,
PC,0,F,Y65-74,AT,2019 ,18.6
PC,0,F,Y65-74,BE,2019 ,13.5
PC,0,F,Y65-74,BG,2019 ,50.6
PC,0,F,Y65-74,CY,2019 ,23.6
PC,0,F,Y65-74,CZ,2019 ,49.6
PC,0,F,Y65-74,DE,2019 ,22.7
PC,0,F,Y65-74,DK,2019 ,30.3
PC,0,F,Y65-74,EE,2019 ,35.2
